"id","name","electoralAreaId","districtId","deleted","createdAt","updatedAt"
391,COLD STORE,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
392,BEEN TO,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
393,ZONGO,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
394,HONG KONG,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
395,ADDEY JUNCTION,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
396,OFFICIAL TOWN,74,2,0,2023-05-25 15:45:08.532,2023-05-25 15:45:08.532
397,ALABAMA,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
398,WATER WORKS,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
399,WATER WORKS(KYEREABOSOM),75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
400,MARKET,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
401,THE ROCK,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
402,TSUIM PALACE,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
403,STATION,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
404,BUSIA JUNCTION,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
405,CHABAR,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
406,BAAHYARD,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
407,TARRAZO,75,2,0,2023-05-25 15:45:18.621,2023-05-25 15:45:18.621
